,EcNumber,Enzyme_Synonyms
4229,2.7.11.2,"['2.7.11.2', 'ATP:[pyruvate dehydrogenase (acetyl-transferring)] phosphotransferase', 'E1-kinase', 'kinase (phosphorylating), pyruvate dehydrogenase', 'More', 'PDH kinase', 'PDH kinase 1', 'PDHK', 'PDHK1', 'PDHK2', 'PDHK4', 'PDK', 'PDK 4', 'PDK-2', 'PDK-4', 'PDK1', 'PDK2', 'PDK3', 'PDK4', 'PDKH1', 'PKP1', 'pyruvate dehydrogenase kinase', 'pyruvate dehydrogenase kinase (phosphorylating)', 'pyruvate dehydrogenase kinase 1', 'pyruvate dehydrogenase kinase 2', 'pyruvate dehydrogenase kinase 3', 'pyruvate dehydrogenase kinase 4', 'pyruvate dehydrogenase kinase activator protein', 'pyruvate dehydrogenase kinase isoenzyme 4', 'pyruvate dehydrogenase kinase-4', 'pyruvate dehydrogenase-kinase', '[pyruvate dehydrogenase (acetyl-transferring)] kinase']"
4230,2.7.11.20,"['2.7.11.20', 'ATP:[elongation factor 2] phosphotransferase', 'Ca2+/calmodulin-dependent kinase III', 'Ca2+/calmodulin&ndash;dependent kinase III', 'calcium/calmodulin-dependent protein kinase III', 'eEF-2 kinase', 'EEF-2K', 'eEF2 kinase', 'eEF2-kinase', 'eEF2K', 'EF-2K', 'EF2K', 'eIF2alpha kinase', 'elongation factor 2 kinase', 'elongation factor-2 kinase', 'eukaryotic elongation factor 2 kinase', 'eukaryotic elongation factor-2 kinase', 'eukaryotic translation initiation factor 2alpha kinase', 'GCN2', 'GCN2 eIF2alpha kinase', 'GCN2 kinase', 'general control nonderepressible 2 kinase', 'More', 'TaGCN2']"
4231,2.7.11.21,"['2.7.11.21', 'ATP:protein phosphotransferase (spindle-pole-dependent)', 'Cdc5', 'Cdc5-polo kinase', 'Cdc5p', 'cell cycle protein kinase CDC5/MSD2', 'cytokine-inducible serine/threonine-protein kinase', 'FGF-inducible kinase', 'Fnk', 'for polo-like kinase 4', 'hPlk1', 'hPlk5', 'HsPlk1', 'More', 'mPlk5', 'PLK', 'PLK-1', 'Plk-2', 'Plk1', 'PLK1 kinase', 'Plk2', 'Plk3', 'PLK4', 'Plk5', 'Plo1', 'Plx1', 'Polo kinase', 'polo related kinase', 'polo-kinase', 'polo-like kinase', 'Polo-like kinase 1', 'polo-like kinase 2', 'polo-like kinase 3', 'polo-like kinase 4', 'polo-like kinase 5', 'polo-like kinase Cdc5', 'polo-like kinase PLK-1', 'polo-like kinase-1', 'polo-like kinase-2', 'polo-like-kinase 1', 'Prk', 'Proliferation-related kinase', 'protein kinase polo', 'Sak', 'serine/threonine-protein kinase PLK', 'serine/threonine-protein kinase plk-1', 'serine/threonine-protein kinase plk-2', 'serine/threonine-protein kinase plk-3', 'serine/threonine-protein kinase plo1', 'serine/threonine-protein kinase SNK', 'SMK/PLK-AKIN kinase', 'SmPlk1', 'TbPLK', 'zPlk1']"
4232,2.7.11.22,"['2.7.11.22', 'A-type CDK', 'A-type cyclin-dependent kinase', 'A-type cyclin-dependent kinase A', 'ATP:cyclin phosphotransferase', 'B-type cyclin-dependent kinase', 'CAK', 'CCRK', 'Cdc2', 'CDC2 kinase', 'cdc2 PK', 'CDC2-like serine/threonine-protein kinase CRP', 'cdc2-related kinase', 'cdc2-related kinase 12', 'Cdc28', 'cdc28p', 'Cdc28p-Chlp kinase', 'CDC2a', 'CDC2deltaT', 'cdc2MsB', 'Cdc2p complex', 'cdc42p', 'CDK', 'Cdk 2', 'cdk-5', 'Cdk-A', 'Cdk1', 'cdk1 kinase', 'Cdk1/Cyclin B', 'cdk1/cyclin B1 complex', 'Cdk1/cyclin B1 kinase', 'CDK10', 'CDK11', 'CDK11p110', 'CDK12', 'CDK13', 'CDK2', 'CDK2L', 'CDK3', 'CDK4', 'CDK4 kinase', 'Cdk5', 'CDK5 homolog', 'Cdk5-p35', 'CDK5/p25', 'cdk5/p25 kinase', 'cdk6', 'cdk7', 'CDK8', 'CDK9', 'CDKA', 'CDKA,1', 'CDKA1', 'CDKA2', 'CDKA;1', 'CDKB', 'CDKB1', 'CDKB1,1', 'CDKC1', 'CDKC2', 'CDKF,1', 'cell division control protein 2', 'cell division control protein 2 cognate', 'cell division control protein 2 homolog', 'cell division control protein 2 homolog 1', 'cell division control protein 2 homolog 2', 'cell division control protein 2 homolog 3', 'cell division control protein 2 homolog A', 'cell division control protein 2 homolog B', 'cell division control protein 2 homolog C', 'cell division control protein 2 homolog D', 'cell division control protein 28', 'cell division cycle 2-related protein kinase 7', 'cell division protein kinase 10', 'cell division protein kinase 2', 'cell division protein kinase 2 homolog', 'cell division protein kinase 2 homolog CRK1', 'cell division protein kinase 3', 'cell division protein kinase 4', 'cell division protein kinase 5', 'cell division protein kinase 5 homolog', 'cell division protein kinase 6', 'cell division protein kinase 7', 'cell division protein kinase 9', 'CRK12:CYC9', 'CRK4 protein kinase', 'CTD kinase alpha subunit', 'cyclin A-cyclin-dependent kinase 2', 'cyclin A-dependent protein kinase 2', 'cyclin A/Cdk2', 'cyclin A2/Cdk2', 'cyclin activating kinase', 'cyclin dependent kinase 2', 'cyclin-dependent kinase', 'cyclin-dependent kinase 1', 'cyclin-dependent kinase 11p110', 'cyclin-dependent kinase 11p58', 'cyclin-dependent kinase 2', 'cyclin-dependent kinase 4', 'cyclin-dependent kinase 5', 'cyclin-dependent kinase 5-p35', 'cyclin-dependent kinase 5/p39', 'cyclin-dependent kinase 6', 'cyclin-dependent kinase 7', 'cyclin-dependent kinase 8', 'cyclin-dependent kinase 9', 'cyclin-dependent kinase A', 'cyclin-dependent kinase A2', 'cyclin-dependent kinase activating kinase', 'cyclin-dependent kinase C', 'Cyclin-dependent kinase pef1', 'cyclin-dependent kinase-2', 'cyclin-dependent kinase-5', 'cyclin-dependent kinase-8', 'cyclin-dependent kinases 7', 'cyclin-dependent kinases 9', 'cyclin-dependent protein kinase', 'cyclin-dependent protein kinase 5', 'Eph-related receptor protein tyrosine kinase', 'G1/S cyclin-dependent kinase', 'G2-specific protein kinase nim-1', 'G2-specific protein kinase NIMA', 'galactosyltransferase associated protein kinase p58/GTA', 'glycogen synthase kinase-3alphabeta', 'K-cyclin/cdk6 kinase', 'K35', 'kinase Cdk6', 'KSHV cyclin', 'male germ cell-associated kinase', 'Mcm1p', 'meiosis induction protein kinase IME2/SME1', 'meiotic mRNA stability protein kinase UME5', 'MO15/CDK7', 'More', 'mrk', 'negative regulator of the PHO system', 'NIMA protein kinase', 'p25-Cdk5 kinase complex', 'p27 cyclin dependent kinase', 'p34cdc2', 'p34cdc2 homologue', 'p34cdc2 protein kinase', 'p40MO15', 'p42', 'p58clk-1 protein kinase', 'PCTAIRE 2', 'PCTAIRE-3', 'Pfmrk', 'PFTK1', 'PFTK1/CCND3 complex', 'PHO85', 'PHO85 homolog', 'PHOA', 'PHOB', 'phosphate-activated cyclin-dependent kinase', 'phosphate-sensing CDK', 'PISSLRE', 'PITALRE', 'PITSLRE', 'PK5', 'PNQALRE', 'Prk1 protein kinase', 'protein kinase csk1', 'R2', 'serine/threonine kinase p', 'serine/threonine protein kinase PCTAIRE-3', 'serine/threonine protein kinase PITSLRE', 'serine/threonine protein kinase SGV1', 'serine/threonine-protein kinase ALS2CR7', 'serine/threonine-protein kinase CAK1', 'serine/threonine-protein kinase KIN28', 'serine/threonine-protein kinase KKIALRE', 'serine/threonine-protein kinase MAK', 'serine/threonine-protein kinase MHK', 'serine/threonine-protein kinase PCTAIRE-1', 'serine/threonine-protein kinase PCTAIRE-2', 'serine/threonine-protein kinase PCTAIRE-3', 'serine/threonine-protein kinase pef1', 'serine/threonine-protein kinase prk1', 'STK9', 'UL97 protein']"
4233,2.7.11.23,"['2.7.11.23', 'ATP:[DNA-directed RNA polymerase] phosphotransferase', 'BRD4', 'Bur1', 'C-terminal domain kinase', 'C-terminal repeat domain kinase', 'C-terminal repeat domain kinase I', 'cdc2-related kinase 9', 'Cdk1', 'CDK12', 'cdk7', 'Cdk7/Kin28', 'CDK8', 'CDK9', 'CDKC1', 'CG7597', 'Crk1', 'CRK9', 'CTD kinase', 'CTD kinase I', 'CTD kinase subunit 3', 'CTD kinase subunit gamma', 'Ctdk-1', 'CTDK-I', 'CTDK-I gamma subunit', 'CTDK-I kinase', 'CTDK1', 'CTDK1 kinase', 'Ctk1', 'Ctk1 kinase', 'Ctk3', 'CycT1:Cdk9', 'dCDK12', 'dCDK13', 'DNA-dependent protein kinase', 'DNA-PK', 'Down syndrome-associated kinase', 'DYRK1A', 'Kin28', 'kinase, ribonucleate nucleotidyltransferase II C-terminal domain (phosphorylating)', 'kinase, ribonucleate nucleotidyltransferase isozyme II IIa subunit (phosphorylating)', 'Lsk1', 'MAPK', 'Mcs6', 'mitotic catastrophe suppressor 6', 'More', 'P-TEFb', 'Plk3', 'pol II CTD kinase', 'Pol II CTD Ser2 kinase', 'Pol II kinase', 'positive transcription elongation factor b', 'RNA pol II C-terminal domain kinase', 'RNA polymerase II carboxyl-terminal domain kinase', 'RNA polymerase II carboxyl-terminal domain Ser2 kinase', 'RNA polymerase II CTD kinase', 'RNA polymerase II CTD Ser2 kinase', 'RNA polymerase II kinase', 'RNA polymerase II Ser2 C-terminal domain kinase', 'RNA polymerase II Ser2 CTD kinase', 'Ser5/Ser7 kinase', 'serine 2 C-terminal domain kinase', 'Srb10', 'TFIIH', 'TFIIH CTD kinase', 'TFIIH kinase', 'TFIIK', '[RNA-polymerase]-subunit kinase']"
4234,2.7.11.24,"['2.7.11.24', 'At2g43790', 'ATMPK1', 'ATMPK2', 'ATP:protein phosphotransferase (MAPKK-activated)', 'BMK1', 'c-Jun amino-terminal kinase', 'c-Jun N-terminal kinase', 'c-jun N-terminal kinase 1', 'c-Jun N-terminal kinase 2', 'c-Jun N-terminal kinase 3', 'c-Jun NH2-terminal kinase', 'c-jun NH2-terminal MAPK', 'C493C.10', 'cell division control protein 7', 'cp38a', 'cp38b', 'CSAID binding protein', 'CSBP', 'CsFUS3', 'CsHOG1', 'CsSLT2', 'Cytokine suppressive anti-inflammatory drug binding protein', 'D-p38b', 'DJNK', 'Dp38', 'ERK', 'ERK 1/2', 'ERK1', 'ERK1-MAP kinase', 'ERK1/2', 'ERK1/2 mitogen-activated protein kinase', 'ERK1b', 'ERK2', 'ERK3', 'ERK5', 'extracellular regulated kinase', 'extracellular regulated kinase-2', 'extracellular signal-regulated kinase', 'extracellular signal-regulated kinase 1', 'extracellular signal-regulated kinase 1/2', 'extracellular signal-regulated kinase 2', 'extracellular signal-regulated kinases-1/2', 'extracellular signal-related kinase', 'extracellular-regulated kinase', 'extracellular-regulated kinase-1', 'extracellular-regulated kinase-2', 'extracellular-signal regulated kinase 1', 'extracellular-signal regulated kinase 2', 'extracellular-signal-regulated protein kinase 3', 'FOIG_09199', 'FoSlt2', 'Fus3', 'Fus3p', 'glycogen synthase kinase-3', 'Gpmk1 MAP kinase', 'GSK3', 'Hog1', 'Hog1p', 'JNK', 'JNK 2', 'JNK-1', 'JNK-2', 'JNK-3', 'JNK/SAPK1c', 'JNK1', 'JNK1/2', 'JNK1alpha1', 'JNK2', 'JNK2alpha2', 'JNK3', 'JNKb', 'JUN N-terminal kinase 1/2', 'Jun-amino-terminal kinase', 'kgb-1', 'kgb-2', 'Kss1', 'Kss1p', 'MaMPK', 'MAP ERK 1/2 kinase', 'MAP kinase', 'MAP kinase 4', 'MAP kinase MXI2', 'MAP kinase p38 beta', 'MAP kinase p38 delta', 'MAP kinase p38 gamma', 'MAP kinase p38a', 'MAP kinase p38alpha', 'MAP kinase p38b', 'MAPK', 'MAPK kinase', 'MAPK-activated protein kinase-2', 'MAPK1', 'MAPK11', 'MAPK12', 'MAPK14', 'MAPK2', 'MAPK3', 'MAPK6', 'MAPK8', 'MAPK9', 'MAPKAP kinase-2', 'MEK', 'MEK1/2', 'Mek1p', 'mitogen- and stress-activated kinase 1', 'mitogen-activated ERK kinase', 'mitogen-activated kinase', 'mitogen-activated protein kinase', 'mitogen-activated protein kinase 1', 'mitogen-activated protein kinase 10', 'mitogen-activated protein kinase 11', 'mitogen-activated protein kinase 13', 'mitogen-activated protein kinase 14', 'mitogen-activated protein kinase 14A', 'mitogen-activated protein kinase 14B', 'mitogen-activated protein kinase 2', 'mitogen-activated protein kinase 3', 'mitogen-activated protein kinase 4', 'mitogen-activated protein kinase 6', 'mitogen-activated protein kinase 7', 'mitogen-activated protein kinase 8', 'mitogen-activated protein kinase 8A', 'mitogen-activated protein kinase 8B', 'mitogen-activated protein kinase 9', 'mitogen-activated protein kinase ERK-A', 'mitogen-activated protein kinase FUS3', 'mitogen-activated protein kinase HOG1', 'mitogen-activated protein kinase homolog 1', 'mitogen-activated protein kinase homolog 2', 'mitogen-activated protein kinase homolog 3', 'mitogen-activated protein kinase homolog 4', 'mitogen-activated protein kinase homolog 5', 'mitogen-activated protein kinase homolog 6', 'mitogen-activated protein kinase homolog D5', 'mitogen-activated protein kinase homolog MMK1', 'mitogen-activated protein kinase homolog MMK2', 'mitogen-activated protein kinase homolog NTF3', 'mitogen-activated protein kinase homolog NTF4', 'mitogen-activated protein kinase homolog NTF6', 'mitogen-activated protein kinase KSS1', 'Mitogen-activated protein kinase p38 beta', 'Mitogen-activated protein kinase p38 delta', 'Mitogen-activated protein kinase p38 gamma', 'Mitogen-activated protein kinase p38a', 'Mitogen-activated protein kinase p38alpha', 'Mitogen-activated protein kinase p38b', 'mitogen-activated protein kinase p44erk1', 'mitogen-activated protein kinase SLT2/MPK1', 'mitogen-activated protein kinase spk1', 'mitogen-activated protein kinase spm1', 'mitogen-activated protein kinase sty1', 'mitogen-activated protein kinase sur-1', 'mitogen-activated protein kinase/extracellular signal-regulated kinase 1/2 kinase', 'mitogen-activated protein kinase6', 'MMK2', 'MMK3', 'More', 'MPK', 'MPK1', 'Mpk1p', 'MPK2', 'MPK3', 'MPK4', 'MPK6', 'MsERK1', 'MSK1', 'p38', 'p38 alpha mitogen-activated protein kinase', 'p38 MAP kinase', 'p38 MAP kinase alpha', 'p38 MAPK', 'p38 MAPKalpha', 'p38 mitogen activated protein kinase', 'p38 mitogen-activated protein kinase', 'p38 mitogen-activated protein kinase alpha', 'p38 mitogen-activated protein MAP kinase', 'p38 protein', 'p38-2', 'p38-delta mitogen-activated protein kinase', 'p38-MAPK', 'p38a', 'p38a MAP kinase', 'p38alpha', 'p38alpha kinase', 'p38alpha MAP kinase', 'p38alpha MAPK', 'p38alpha mitogen activated protein kinase', 'p38alpha mitogen-activated protein kinase', 'P38alpha-MAPKAP kinase 2', 'p38b', 'p38b1', 'p38b2', 'p38beta', 'p38delta', 'p38gamma', 'p38MAPK', 'p42', 'p44', 'p46MAPK', 'p493F12 kinase', 'p97MAPK', 'pathogenicity MAP kinase 1', 'PMEK1', 'pmk-1', 'pmk-2', 'pmk-3', 'PMK1', 'pp42/mitogen-activated protein kinase', 'Prkm1', 'receptor-linked ribosomal protein S6', 'SAMK', 'SAPK', 'SAPK/JNK', 'SAPK2A', 'SAPK2a/p38', 'SAPK2b/p38beta', 'SAPK3/p38gamma', 'SAPK4', 'SAPK4/p38delta', 'SAPKalphaI/JNK2', 'signal-regulated kinase 3', 'SIMK', 'Slt2', 'SLT2 (MPK1) MAP kinase homolog', 'Smk1p', 'Spc1 kinase', 'Spm1', 'sporulation-specific mitogen-activated protein kinase SMK1', 'stress-activated protein kinase', 'stress-activated protein kinase 2a', 'stress-activated protein kinase JNK', 'stress-activated protein kinase JNK1', 'stress-activated protein kinase-4', 'Sur-1 MAP kinase', 'TIPK', 'TmkA', 'UNC-16', 'ZmMAPK5']"
4235,2.7.11.25,"['(JNK)/stress-activated protein kinase-associated protein 1', '2.7.11.25', 'A-Raf', 'angle1', 'apoptosis signal-regulated kinase 1', 'apoptosis signal-regulating kinase', 'apoptosis signal-regulating kinase 1', 'apoptosis signal-regulating kinase 2', 'ASK1', 'ASK2', 'At4g08480', 'At4g08500', 'ATP:protein phosphotransferase (MAPKKKK-activated)', 'B-Raf', 'B-Raf kinase', 'BcOs4', 'BnaM3K18', 'BnaM3K19', 'BnaMAPKKK', 'BnaMAPKKK18.1', 'BnaMAPKKK19.1', 'BnaMAPKKK4.2', 'BRAF', 'BRAF protein serine/threonine kinase', 'c-mos', 'C-Raf', 'cancer osaka thyroid', 'COT', 'COT30-397', 'COT30-467', 'D-MEKK1', 'DLK', 'Dual leucine zipper bearing kinase', 'dual leucine zipper-bearing kinase', 'extracellular signal-regulated kinase kinase kinase-1', 'fertilization-related kinase 1', 'fertilization-related kinase 2', 'Frk1', 'Frk2', 'GCKR', 'germinal center kinase-related enzyme', 'HsNIK', 'ILA1', 'JSAP1', 'Jun N-terminal kinase kinase kinase', 'Jun N-terminal protein kinase', 'Leucine-zipper protein kinase', 'LZK', 'M3Kalpha', 'MAP 3-kinase', 'MAP kinase kinase kinase', 'MAP kinase kinase kinase 1', 'MAP kinase kinase kinase 2', 'MAP kinase kinase kinase 3', 'MAP kinase kinase kinase mkh1', 'MAP kinase kinase kinase SSK2', 'MAP kinase kinase kinase win1', 'MAP kinase kinase kinase wis4', 'MAP/ERK kinase kinase 1', 'MAP3K', 'MAP3K1', 'MAP3K12', 'MAP3K6', 'MAP3K7', 'MAP3Ka', 'MAPK kinase kinase', 'MAPK-upstream kinase', 'MAPK/ERK kinase kinase 1', 'MAPK/ERKkinase kinase 3', 'MAPKK kinase', 'MAPKKK', 'MAPKKK4', 'MAPKKK6', 'MAPKKKalpha', 'MCK1', 'Mek kinase', 'MEK kinase 1', 'MEK kinase 3', 'MEKK1', 'MEKK2', 'MEKK3', 'MEKK4', 'MEKK5', 'MEKK8', 'mik-1', 'mitogen activated protein kinase kinase kinase', 'mitogen-activated protein kinase kinase kinase', 'mitogen-activated protein kinase kinase kinase 1', 'mitogen-activated protein kinase kinase kinase 3', 'mitogen-activated protein kinase kinase kinase 4', 'mitogen-activated protein kinase kinase kinase 6', 'mitogen-activated protein kinase kinase kinase kinase', 'mitogen-activated protein kinase kinase kinase-1', 'mitogen-activated protein kinase/extracellular signal-regulated kinase kinase kinase 1', 'mitogen-activated protein kinase/extracellular-regulated kinase kinase kinase-3', 'mitogen-activated protein kinase/extracellular-signal-regulated kinase kinase kinase 1', 'mitogen-activated protein/ERK kinase kinase 3', 'Mixed Lineage Kinase', 'mixed lineage kinase 4', 'Mkh1', 'MKKK', 'MKL3', 'MLK', 'MLK-like mitogen-activated protein triple kinase', 'MLK1', 'MLK2', 'MLK3', 'MLK4', 'MLTKalpha', 'More', 'Mos', 'MTK1', 'MUK', 'NF-kappa beta-inducing kinase', 'NSY-1', 'OMTK1', 'oxidative stress-activated MAP triple-kinase 1', 'protein kinase byr2', 'putative mitogen-activated protein kinase 1', 'Raf', 'Raf-1', 'Raf-like MAPKKK', 'Raf10', 'Raf11', 'ScFRK1', 'Serine/threonine protein kinase NIK', 'serine/threonine-protein kinase STE11', 'Ssk2', 'SSk2 MAPK kinase kinase', 'Ssk22p', 'Ssk2p', 'Ste11', 'Ste11p', 'summ1', 'suppressor of mkk1 mkk2 1', 'TAK1', 'TAK1 (three isoforms termed A,B and C)', 'TAO', 'TAO kinase', 'TAO1-2', 'TAO2-1', 'TGF-beta-activated kinase-1', 'TGFalpha activated kinase', 'TGFbeta activated kinase 1', 'TGFbeta-activated kinase 1', 'Thousand And One kinase', 'Tlp2', 'TPL-2', 'transforming growth factor beta-activated kinase 1', 'TTP kinase', 'tumor progression locus-2', 'tumour progression locus 2', 'Wak1', 'Wik1', 'Win1', 'Wis4', 'YODA', 'ZAK', 'ZPK', 'ZPK/DLK']"
4236,2.7.11.26,"['2.7.11.26', 'AMP-activated protein kinase', 'AMPK', 'AtK-1', 'ATP:[tau-protein] O-phosphotransferase', 'brain proteinkinase PK40erk', 'cAMP-dependent protein kinase A', 'Cdk5', 'Cdk5-p25', 'Cdk5-p35', 'CDK5/p25', 'cyclin-dependent kinase 5', 'cyclin-dependent kinase 5/p39', 'cyclin-dependent kinase-5', 'Gasket protein', 'glycogen synthase kinase', 'glycogen synthase kinase 3', 'glycogen synthase kinase 3 beta', 'glycogen synthase kinase 3-beta', 'glycogen synthase kinase 3beta', 'glycogen synthase kinase-3', 'glycogen synthase kinase-3 alpha', 'glycogen synthase kinase-3 homolog', 'glycogen synthase kinase-3 homolog MsK-1', 'glycogen synthase kinase-3 homolog MsK-2', 'glycogen synthase kinase-3 homolog MsK-3', 'glycogen synthase kinase-3alphabeta', 'glycogen synthase kinase-3beta', 'glycogen synthase kinase-3beta1', 'glycogen synthase kinase-3beta2', 'GSK 3-beta', 'GSK-3', 'GSK-3 alpha', 'GSK-3 beta', 'GSK-3/shaggy-like protein kinase', 'GSK-3alpha', 'GSK-3beta', 'GSK-3beta1', 'GSK-3beta2', 'GSK3', 'GSK3A', 'GSK3alpha', 'GSK3B', 'GSK3beta', 'MCK1', 'More', 'NtK-4', 'p-SAPK/JNK', 'p25-Cdk5 kinase complex', 'PKA', 'protein kinase 1', 'protein kinase A', 'protein kinase MCK1', 'protein kinase shaggy', 'protein kinase skp1', 'protein kinase-A', 'protein tau kinase', 'serine-threonine kinase', 'serine/threonine-protein kinase MDS1/RIM11', 'serine/threonine-protein kinase MRK1', 'serum- and glucocorticoid-induced protein kinase 1', 'Sgg', 'SGK1', 'SHAGGY-related protein kinase', 'shaggy-related protein kinase alpha', 'shaggy-related protein kinase beta', 'shaggy-related protein kinase delta', 'shaggy-related protein kinase eta', 'shaggy-related protein kinase gamma', 'shaggy-related protein kinase iota', 'shaggy-related protein kinase kappa', 'shaggy-related protein kinase NtK-1', 'shaggy-related protein kinase theta', 'shaggy/zeste white-3', 'stress activated kinase/c-jun N-terminal kinase', 'Syk', 'tau factor protein kinase (phosphorylating)', 'tau kinase', 'tau protein kinase', 'tau protein kinase I', 'tau protein kinase I/glycogen synthase kinase 3beta', 'tau protein kinase I/GSK-3beta/kinaseFA', 'tau protein kinase II (cdk5/p20)', 'tau protein kinase II system', 'tau tubulin kinase 2', 'tau-protein kinase', 'tau-protein kinase I', 'tau-protein kinase II', 'tau-tubulin kinase', 'Tau-tubulin kinase 1', 'tau-tubulin kinase 2', 'tauprotein kinase', 'TPK', 'TPK I', 'TPKI', 'TPKI/GSK-3beta', 'TPKI/GSK-3beta/FA', 'TPKI/GSK3beta', 'TPKII', 'TTBK1', 'TTBK2', 'TTK', 'zeste-white3']"
4237,2.7.11.27,"['2.7.11.27', ""5'-AMP activated protein kinase"", 'acetyl coenzyme A carboxylase kinase (phosphorylating)', 'acetyl-CoA carboxylase bound kinase', 'acetyl-CoA carboxylase kinase', 'acetyl-CoA carboxylase kinase (cAMP-independent)', 'acetyl-CoA carboxylase kinase-2', 'acetyl-CoA carboxylase kinase-3 (AMP-activated)', 'acetyl-coenzyme A carboxylase kinase', 'ACK2', 'ACK3', 'AMP-activated protein kinase', 'AMPK', 'AMPKalpha', 'ATP:[acetyl-CoA carboxylase] phosphotransferase', 'cAMP-activated protein kinase', 'I-peptide kinase', 'More', '[acetyl-CoA carboxylase] kinase']"
4238,2.7.11.28,"['2.7.11.28', 'ATP:tropomyosin O-phosphotransferase', 'tropomyosin kinase', 'tropomyosin kinase (phosphorylating)']"
4239,2.7.11.29,"['2.7.11.29', 'ATP:[low-density-lipoprotein receptor]-L-serine O-phosphotransferase', 'LDL receptor kinase', 'low-density lipoprotein receptor kinase', 'low-density-lipoprotein receptor kinase', 'low-density-lipoprotein receptor kinase (phosphorylating)']"
4240,2.7.11.3,"['2.7.11.3', 'AMP-activated protein kinase kinase', 'ATP:dephospho-{[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase} phosphotransferase', 'dephospho-[reductase kinase] kinase', 'hydroxymethylglutaryl coenzyme A reductase kinase kinase', 'hydroxymethylglutaryl coenzyme A reductase kinase kinase (phosphorylating)', 'reductase kinase kinase']"
4241,2.7.11.30,"['2.7.11.30', 'activin receptor-like kinase 1', 'activin receptor-like kinase 1 gene', 'activin receptor-like kinase 2', 'activin receptor-like kinase 5', 'activin receptor-like kinase 6', 'activin receptor-like kinase 7', 'activin receptor-like kinase-5', 'activin receptor-like kinase-7', 'activin receptor-like-kinase 1', 'activin-like kinase receptor 1', 'activin-like kinase receptor 4', 'ACTR-IC', 'ACVRL1', 'ALK-1', 'ALK1', 'ALK2', 'ALK4', 'ALK5', 'alk5 kinase', 'ALK6', 'ALK7', 'ATP:[receptor-protein] phosphotransferase', 'BM-PRI', 'BM-PRII', 'BMP type I receptor', 'BMP type II receptor', 'BMPR-II', 'BMPR2', 'BMPRII', 'bone morphogenetic protein receptor II gene', 'bone morphogenetic protein type II receptor', 'ESK2', 'G-type lectin S-receptor-like serine/threonine protein kinase', 'GsSRK', 'MIS type II receptor', 'MISRII', 'More', 'MRII', 'receptor protein serine/threonine kinase', 'receptor serine/threonine kinase', 'receptor-like protein kinase', 'Rlk', 'RSTK', 'serine/threonine receptor kinase', 'Serine/threonine-protein kinase receptor R1', 'Serine/threonine-protein kinase receptor R4', 'Serine/threonine-protein kinase receptor R5', 'Serine/threonine-protein kinase receptor R6', 'SKR1', 'SKR2', 'SKR3', 'SKR4', 'SKR5', 'SKR6', 'SmRK2', 'TbetaKI', 'TbetaR-I', 'TbetaR-II', 'TbetaRI', 'TbetaRI kinase', 'TbetaRI receptor kinase', 'TbetaRII', 'TBRI', 'TBRI kinase', 'TGF-beta receptor', 'TGF-beta receptor 1', 'TGF-beta receptor I', 'TGF-beta receptor I kinase', 'TGF-beta receptor II', 'TGF-beta receptor II kinase', 'TGF-beta receptor kinase', 'TGF-beta type I receptor', 'TGF-beta type I receptor kinase', 'TGF-beta type I receptor serine/threonine kinase', 'TGF-beta type II receptor', 'TGF-beta type-I receptor', 'TGFbetaRI/II kinase', 'TGFBR1', 'transforming growth factor beta type-I receptor', 'transforming growth factor-beta receptor', 'transforming growth factor-beta receptor 1', 'transforming growth factor-beta receptor I', 'transforming growth factor-beta receptor II', 'transforming growth factor-beta type 1 receptor kinase', 'transforming growth factor-beta type I receptor', 'transforming growth factor-beta type I receptor kinase', 'transforming growth factor-beta type1 receptor kinase', 'TRKI', 'TSK-7L', 'type I receptor kinase', 'type I receptor TGF-beta kinase', 'type I serine/threonine kinase', 'type II receptor serine/threonine kinase']"
4242,2.7.11.31,"['2.7.11.31', '3-hydroxy-3-methylglutaryl coenzyme A reductase kinase', '3-hydroxy-3-methylglutaryl-CoA reductase kinase', ""5'-AMP-activated protein kinase"", ""5'-AMP-activated protein kinase catalytic subunit alpha-1"", '5-AMP-activated protein kinase', 'AAK-2', ""adenosine 5'-monophosphate-activated protein kinase"", 'adenosine 5-monophosphate-activated protein kinase', 'adenosine monophosphate-activated protein kinase', 'adenosine monophosphateactivated protein kinase', 'AMP-activated protein kinase', 'AMP-activated protein kinase alpha', 'AMP-activated protein kinase alpha1', 'AMP-activated protein kinase alpha2 subunit', 'AMPK', 'AMPK-223', 'AMPK1', 'AMPKalpha', 'AMPKbeta', 'AMPKbeta-1', 'AMPKbeta-2', 'AMPKgamma', 'ATP:[hydroxymethylglutaryl-CoA reductase (NADPH)] phosphotransferase', 'beta-hydroxy-beta-methylglutaryl-CoA reductase kinase', 'HDAC5 kinase', 'hydroxymethylglutaryl coenzyme A reductase kinase', 'hydroxymethylglutaryl coenzyme A reductase kinase (phosphorylating)', 'More', 'PRKAA1', 'reductase kinase', 'Snf1', 'Snf1 kinase', 'SNF1-interacting protein 1', 'SNF1-interacting protein 2', 'SNF1-interacting protein 3', 'SNF4', '[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase', '[hydroxymethylglutaryl-CoA reductase (NADPH2)] kinase']"
